# X(m) Y(m) Z(m)
0.150 0.217 0.189
0.150 0.217 0.189
0.149 0.217 0.189
0.149 0.217 0.189
0.149 0.217 0.189
0.149 0.217 0.189
0.149 0.217 0.189
0.149 0.216 0.189
0.149 0.216 0.188
0.149 0.216 0.188
0.149 0.216 0.188
0.148 0.216 0.188
0.148 0.216 0.188
0.148 0.215 0.188
0.148 0.215 0.187
0.148 0.215 0.187
0.148 0.215 0.187
0.148 0.214 0.187
0.147 0.214 0.187
0.147 0.214 0.187
0.147 0.214 0.187
0.147 0.214 0.186
0.147 0.214 0.186
0.147 0.214 0.186
0.147 0.213 0.186
0.147 0.213 0.186
0.146 0.213 0.185
0.146 0.213 0.185
0.146 0.213 0.185
0.146 0.213 0.185
0.146 0.212 0.185
0.146 0.212 0.185
0.146 0.212 0.185
0.146 0.212 0.185
0.146 0.212 0.185
0.146 0.212 0.184
0.146 0.212 0.184
0.145 0.211 0.184
0.145 0.211 0.184
0.145 0.211 0.184
0.145 0.211 0.184
0.145 0.211 0.183
0.145 0.211 0.183
0.145 0.211 0.183
0.145 0.210 0.183
0.144 0.210 0.183
0.145 0.210 0.183
0.144 0.210 0.183
0.144 0.210 0.183
0.144 0.210 0.183
0.144 0.210 0.183
0.144 0.209 0.182
0.144 0.209 0.182
0.144 0.209 0.182
0.144 0.209 0.182
0.144 0.209 0.182
0.144 0.209 0.182
0.143 0.208 0.182
0.143 0.208 0.181
0.143 0.208 0.181
0.143 0.208 0.181
0.143 0.208 0.181
0.143 0.208 0.181
0.143 0.208 0.181
0.143 0.208 0.181
0.143 0.207 0.181
0.143 0.207 0.181
0.143 0.207 0.180
0.142 0.207 0.180
0.142 0.207 0.180
0.142 0.207 0.180
0.142 0.206 0.180
0.142 0.206 0.180
0.142 0.206 0.180
0.142 0.206 0.179
0.142 0.206 0.179
0.142 0.206 0.179
0.141 0.206 0.179
0.141 0.205 0.179
0.141 0.205 0.179
0.141 0.205 0.179
0.141 0.205 0.179
0.141 0.205 0.178
0.141 0.205 0.178
0.141 0.205 0.178
0.141 0.204 0.178
0.140 0.204 0.178
0.140 0.204 0.178
0.140 0.204 0.178
0.140 0.204 0.178
0.140 0.204 0.177
0.140 0.204 0.177
0.140 0.203 0.177
0.140 0.203 0.177
0.140 0.203 0.177
0.140 0.203 0.177
0.139 0.203 0.177
0.139 0.203 0.176
0.139 0.202 0.176
0.139 0.202 0.176
0.139 0.202 0.176
0.139 0.202 0.176
0.139 0.202 0.176
0.139 0.202 0.176
0.139 0.202 0.176
0.139 0.202 0.176
0.139 0.201 0.175
0.139 0.201 0.175
0.138 0.201 0.175
0.138 0.201 0.175
0.138 0.201 0.175
0.138 0.201 0.175
0.138 0.201 0.175
0.138 0.201 0.175
0.138 0.201 0.175
0.138 0.200 0.175
0.138 0.200 0.175
0.138 0.200 0.174
0.138 0.200 0.174
0.138 0.200 0.174
0.137 0.200 0.174
0.137 0.199 0.174
0.137 0.199 0.174
0.137 0.199 0.174
0.137 0.199 0.173
0.137 0.199 0.173
0.137 0.199 0.173
0.137 0.199 0.173
0.137 0.199 0.173
0.137 0.198 0.173
0.136 0.198 0.173
0.136 0.198 0.173
0.136 0.198 0.173
0.136 0.198 0.173
0.136 0.198 0.172
0.136 0.198 0.172
0.136 0.197 0.172
0.136 0.197 0.172
0.136 0.197 0.172
0.136 0.197 0.172
0.136 0.197 0.172
0.136 0.197 0.172
0.135 0.197 0.171
0.135 0.197 0.171
0.135 0.197 0.171
0.135 0.197 0.171
0.135 0.196 0.171
0.135 0.196 0.171
0.135 0.196 0.171
0.135 0.196 0.171
0.135 0.196 0.171
0.135 0.196 0.170
0.135 0.196 0.170
0.135 0.196 0.170
0.134 0.195 0.170
0.134 0.195 0.170
0.134 0.195 0.170
0.134 0.195 0.170
0.134 0.195 0.170
0.134 0.195 0.170
0.134 0.195 0.169
0.134 0.194 0.169
0.134 0.194 0.169
0.134 0.194 0.169
0.134 0.194 0.169
0.133 0.194 0.169
0.133 0.194 0.169
0.133 0.194 0.169
0.133 0.194 0.169
0.133 0.194 0.169
0.133 0.194 0.169
0.133 0.193 0.168
0.133 0.193 0.168
0.133 0.193 0.168
0.133 0.193 0.168
0.133 0.193 0.168
0.133 0.193 0.168
0.133 0.193 0.168
0.132 0.192 0.168
0.132 0.192 0.167
0.132 0.192 0.167
0.132 0.192 0.167
0.132 0.192 0.167
0.132 0.192 0.167
0.132 0.192 0.167
0.132 0.192 0.167
0.132 0.192 0.167
0.132 0.192 0.167
0.132 0.191 0.167
0.132 0.191 0.167
0.132 0.191 0.167
0.131 0.191 0.166
0.131 0.191 0.166
0.131 0.191 0.166
0.131 0.191 0.166
0.131 0.191 0.166
0.131 0.191 0.166
0.131 0.191 0.166
0.131 0.191 0.166
0.131 0.190 0.166
0.131 0.190 0.166
0.131 0.190 0.166
0.131 0.190 0.166
0.131 0.190 0.166
0.131 0.190 0.166
0.143 0.236 0.195
0.143 0.236 0.195
0.143 0.236 0.195
0.143 0.236 0.194
0.143 0.236 0.194
0.143 0.236 0.194
0.143 0.236 0.194
0.143 0.235 0.194
0.143 0.235 0.194
0.143 0.235 0.194
0.142 0.235 0.194
0.142 0.235 0.193
0.142 0.235 0.193
0.142 0.234 0.193
0.142 0.234 0.193
0.142 0.234 0.193
0.142 0.234 0.193
0.141 0.233 0.192
0.141 0.233 0.192
0.141 0.233 0.192
0.141 0.233 0.192
0.141 0.233 0.191
0.141 0.232 0.191
0.141 0.232 0.191
0.141 0.232 0.191
0.141 0.232 0.191
0.140 0.231 0.191
0.140 0.231 0.190
0.140 0.231 0.191
0.140 0.231 0.190
0.140 0.231 0.190
0.140 0.231 0.190
0.140 0.231 0.190
0.140 0.230 0.190
0.139 0.230 0.189
0.139 0.230 0.189
0.139 0.230 0.189
0.139 0.229 0.189
0.139 0.229 0.189
0.139 0.229 0.189
0.139 0.229 0.189
0.139 0.229 0.188
0.139 0.229 0.188
0.139 0.229 0.188
0.138 0.228 0.188
0.138 0.228 0.188
0.138 0.228 0.188
0.138 0.228 0.188
0.138 0.228 0.188
0.138 0.227 0.187
0.138 0.227 0.187
0.138 0.227 0.187
0.138 0.227 0.187
0.137 0.227 0.187
0.137 0.226 0.187
0.137 0.226 0.187
0.137 0.226 0.186
0.137 0.226 0.186
0.137 0.226 0.186
0.137 0.226 0.186
0.137 0.225 0.186
0.137 0.225 0.186
0.137 0.225 0.186
0.136 0.225 0.185
0.136 0.225 0.185
0.136 0.225 0.185
0.136 0.224 0.185
0.136 0.224 0.185
0.136 0.224 0.185
0.136 0.224 0.184
0.136 0.224 0.184
0.136 0.224 0.184
0.135 0.223 0.184
0.135 0.223 0.184
